genus,missing_interval
Abrekia,Dienerian
Abrekia,Spathian
Acrochordiceras,Spathian
Adygella,Pelsonian
Allocosmia,Illyrian
Ammonoidea,Dienerian
Anagymnites,Pelsonian
Anomphalus,Dienerian
Arctohungarites,Illyrian
Asoella,Dienerian
Asoella,Illyrian
Astarte,Illyrian
Athyris,Illyrian
Austriellula,Aegean
Austriellula,Illyrian
Avichlamys,Aegean
Bellerophontoidea,Dienerian
Beneckeia,Illyrian
Bivalvia,Bithynian
Bositra,Aegean
Botulopsis,Illyrian
Brachiopoda,Bithynian
Brachiopoda,Illyrian
Buccinites,Illyrian
Cardinia,Illyrian
Cassianella,Bithynian
Caucasorhynchella,Illyrian
Cheilotomona,Illyrian
Chlamys,Aegean
Coelostylina,Aegean
Coelostylina,Illyrian
Cordillerites,Dienerian
Costatoria,Bithynian
Crittendenia,Illyrian
Cuccoceras,Illyrian
Curionia,Illyrian
Czekanowskites,Illyrian
Dacryomya,Pelsonian
Dagyssia,Illyrian
Danubites,Dienerian
Danubites,Spathian
Delphinulopsis,Illyrian
Dieneroceras,Griesbachian
Diholkorhynchia,Bithynian
Diholkorhynchia,Illyrian
Dimorphotomaria,Pelsonian
Discinisca,Illyrian
Discohelix,Illyrian
Elegantarca,Illyrian
Elegantinia,Aegean
Elegantinia,Illyrian
Entolioides,Aegean
Eucycloscala,Illyrian
Euomphalus,Illyrian
Eutomoceras,Pelsonian
Euzone,Illyrian
Favreticeras,Illyrian
Gervillia,Bithynian
Glyptophiceras,Dienerian
Guichiella,Dienerian
Guizhoumyophoria,Illyrian
Heminajas,Aegean
Hirsutella,Bithynian
Hirsutella,Illyrian
Hologyra,Illyrian
Homomya,Smithian
Isculites,Illyrian
Japonites,Pelsonian
Kashmirites,Griesbachian
Kittliconcha,Illyrian
Langsonella,Illyrian
Lepismatina,Dienerian
Lima,Pelsonian
Lingularia,Bithynian
Lopha,Illyrian
Loxonema,Bithynian
Loxonema,Illyrian
Marmolatella,Illyrian
Metophiceras,Smithian
Modiolus,Illyrian
Monophyllites,Spathian
Murchisonia,Illyrian
Myoconcha,Smithian
Myoconcha,Aegean
Myoconcha,Pelsonian
Myophoria,Bithynian
Mytilus,Dienerian
Mytilus,Illyrian
Naticopsis,Dienerian
Naticopsis,Illyrian
Neomorphotis,Dienerian
Neomorphotis,Aegean
Neomorphotis,Illyrian
Neritaria,Dienerian
Neritaria,Illyrian
Nevadisculites,Illyrian
Nicholsites,Illyrian
Noetlingites,Illyrian
Nudirostralina,Dienerian
Nudirostralina,Bithynian
Nudispiriferina,Illyrian
Olenikites,Smithian
Omphaloptycha,Spathian
Omphaloptychia,Illyrian
Orbiculoidea,Dienerian
Ornithopecten,Dienerian
Ostrea,Illyrian
Otoceras,Smithian
Pachyomphalus,Dienerian
Palaeolima,Griesbachian
Palaeolima,Illyrian
Palaeoneilo,Dienerian
Palaeonucula,Smithian
Palaeonucula,Illyrian
Paraceratites,Bithynian
Paracrochordiceras,Bithynian
Paracrochordiceras,Illyrian
Parallelodon,Aegean
Parallelodon,Illyrian
Paranorellina,Dienerian
Parasageceras,Aegean
Pectinida,Dienerian
Pectinidae,Aegean
Pernopecten,Griesbachian
Piarorhynchella,Aegean
Pinna,Aegean
Pinna,Pelsonian
Placunopsis,Aegean
Platycuccoceras,Illyrian
Pleuronectites,Aegean
Pleurotomaria,Dienerian
Pleurotomaria,Illyrian
Polygyrina,Aegean
Praechlamys,Illyrian
Promathildia,Illyrian
Prosoleptus,Illyrian
Prospondylus,Illyrian
Proteusites,Illyrian
Protonerita,Aegean
Protostrea,Illyrian
Protrachyceras,Pelsonian
Pseudocorbula,Smithian
Pseudodanubites,Illyrian
Pseudomyoconcha,Bithynian
Pseudomyoconcha,Illyrian
Pseudospiriferina,Bithynian
Pteria,Aegean
Pteria,Illyrian
Ramonalina,Illyrian
Rasatomaria,Pelsonian
Retzia,Illyrian
Rhaetina,Aegean
Rhynchonellida,Dienerian
Rhynchonellida,Illyrian
Rinaldoella,Illyrian
Riselloidea,Illyrian
Schwagerispira,Spathian
Scurriopsis,Illyrian
Scythentolium,Aegean
Septaliphorioidea,Illyrian
Sinucosta,Bithynian
Spiriferina,Dienerian
Spirigera,Illyrian
Spirostylus,Illyrian
Stenopopanoceras,Illyrian
Sulcatinella,Aegean
Sulcatinella,Illyrian
Terquemia,Bithynian
Tetsaoceras,Illyrian
Thecocyrtella,Illyrian
Toxoconcha,Illyrian
Trachybembix,Griesbachian
Triassocirrus,Illyrian
Trigonodus,Illyrian
Trochus,Illyrian
Tropigastrites,Pelsonian
Trypanostylus,Illyrian
Tulungospirifer,Illyrian
Undularia,Bithynian
Undularia,Illyrian
Unicardium,Aegean
Unicardium,Illyrian
Unio,Illyrian
Unionites,Bithynian
Ussurites,Pelsonian
Vernelia,Dienerian
Worthenia,Dienerian
Worthenia,Aegean
Wortheniopsis,Aegean
Wortheniopsis,Pelsonian
Xenodiscus,Dienerian
Zygites,Illyrian
Zygopleura,Dienerian
Zygopleura,Spathian
Zygopleura,Bithynian
Zygopleura,Illyrian
